invoice_id,customer_id,issue_date,due_date,paid_date,amount,currency,status,country
INV00001,C00197,2023-01-27,2023-02-26,2023-02-10,2665,DKK,paid,DK
INV00002,C00108,2023-01-04,2023-02-03,,4383,DKK,overdue,DK
INV00003,C00057,2023-01-05,2023-02-04,2023-01-27,1264,DKK,paid,DK
INV00004,C00094,2023-01-05,2023-02-04,2023-01-15,1036,DKK,paid,DK
INV00005,C00273,2023-01-10,2023-02-09,2023-01-23,3726,DKK,paid,DK
INV00006,C00207,2023-01-08,2023-02-07,2023-01-26,4530,DKK,paid,DK
INV00007,C00166,2023-01-02,2023-02-01,2023-02-15,3411,DKK,paid_late,DK
INV00008,C00173,2023-01-09,2023-02-08,2023-03-17,6587,DKK,paid_late,DK
INV00009,C00171,2023-01-19,2023-02-18,2023-03-21,7131,DKK,paid_late,DK
INV00010,C00214,2023-01-26,2023-02-25,2023-02-05,3239,DKK,paid,DK
INV00011,C00017,2023-01-28,2023-02-27,2023-02-17,7144,DKK,paid,DK
INV00012,C00214,2023-01-02,2023-02-01,2023-01-18,1542,DKK,paid,DK
INV00013,C00142,2023-01-17,2023-02-16,2023-02-13,2724,DKK,paid,DK
INV00014,C00069,2023-01-28,2023-02-27,2023-02-08,5493,DKK,paid,DK
INV00015,C00268,2023-01-21,2023-02-20,2023-01-27,1121,DKK,paid,DK
INV00016,C00045,2023-01-23,2023-02-22,,3890,DKK,overdue,DK
INV00017,C00214,2023-01-02,2023-02-01,2023-01-29,1858,DKK,paid,DK
INV00018,C00126,2023-01-20,2023-02-19,2023-02-15,5031,DKK,paid,DK
INV00019,C00223,2023-01-24,2023-02-23,2023-02-08,1149,DKK,paid,DK
INV00020,C00045,2023-01-07,2023-02-06,2023-01-24,3056,DKK,paid,DK
INV00021,C00002,2023-01-26,2023-02-25,2023-02-03,7794,DKK,paid,DK
INV00022,C00092,2023-01-25,2023-02-24,2023-01-30,4460,DKK,paid,DK
INV00023,C00074,2023-01-09,2023-02-08,2023-03-19,1416,DKK,paid_late,DK
INV00024,C00002,2023-01-26,2023-02-25,2023-02-04,5475,DKK,paid,DK
INV00025,C00043,2023-02-14,2023-03-16,,6434,DKK,overdue,DK
