lead_id,customer_id,country,service_type,lead_date,assigned_at,converted_at,lead_status,lead_source
L00001,C00012,DK,bookkeeping,2023-01-23,2023-01-24,,pending,organic
L00002,C00185,DK,accounting,2023-01-24,2023-01-26,2023-02-05,converted,referral
L00003,C00015,DK,accounting,2023-01-02,,,unassigned,partner
L00004,C00064,DK,tax_advisory,2023-01-17,2023-01-18,,lost,paid
L00005,C00002,DK,payroll,2023-01-22,2023-01-22,,lost,partner
L00006,C00114,DK,payroll,2023-01-22,2023-01-23,2023-02-05,converted,referral
L00007,C00235,DK,accounting,2023-01-05,2023-01-06,,pending,partner
L00008,C00055,DK,tax_advisory,2023-01-09,,,unassigned,referral
L00009,C00093,DK,tax_advisory,2023-01-02,2023-01-04,,lost,organic
L00010,C00253,DK,audit,2023-01-11,2023-01-15,2023-01-21,converted,organic
L00011,C00129,DK,tax_advisory,2023-01-04,2023-01-08,2023-01-27,converted,partner
L00012,C00173,DK,tax_advisory,2023-01-25,2023-01-26,,lost,referral
L00013,C00203,DK,payroll,2023-01-27,2023-01-29,2023-02-13,converted,partner
L00014,C00033,DK,accounting,2023-01-17,2023-01-19,2023-01-22,converted,paid
L00015,C00199,DK,audit,2023-01-23,2023-01-23,2023-01-29,converted,referral
L00016,C00229,DK,tax_advisory,2023-01-11,2023-01-12,2023-02-04,converted,paid
L00017,C00219,DK,payroll,2023-01-08,2023-01-08,,pending,partner
L00018,C00154,DK,audit,2023-01-04,2023-01-05,,lost,paid
L00019,C00255,DK,bookkeeping,2023-01-06,2023-01-06,,pending,organic
L00020,C00180,DK,accounting,2023-01-11,2023-01-11,2023-01-24,converted,partner
L00021,C00116,DK,audit,2023-01-06,2023-01-06,2023-01-22,converted,paid
L00022,C00030,DK,accounting,2023-01-11,2023-01-12,2023-01-20,converted,referral
L00023,C00166,DK,tax_advisory,2023-02-06,2023-02-07,2023-02-17,converted,paid
L00024,C00266,DK,bookkeeping,2023-02-04,2023-02-04,,pending,paid
L00025,C00086,DK,payroll,2023-02-09,2023-02-10,,lost,organic
L00026,C00027,DK,audit,2023-02-22,2023-02-25,2023-03-19,converted,paid
L00027,C00167,DK,accounting,2023-02-13,,,unassigned,paid
L00028,C00168,DK,audit,2023-02-24,2023-02-24,2023-03-08,converted,organic
L00029,C00087,DK,bookkeeping,2023-02-08,2023-02-12,2023-02-27,converted,paid
L00030,C00132,DK,accounting,2023-02-02,,,unassigned,paid
L00031,C00001,DK,accounting,2023-02-09,2023-02-09,,pending,organic
L00032,C00156,DK,bookkeeping,2023-02-04,2023-02-05,2023-02-21,converted,paid
L00033,C00243,DK,payroll,2023-02-03,2023-02-04,,lost,organic
L00034,C00243,DK,audit,2023-02-28,2023-02-28,2023-03-07,converted,organic
L00035,C00159,DK,payroll,2023-02-22,2023-02-24,,lost,referral
L00036,C00286,DK,audit,2023-02-13,2023-02-14,,pending,paid
L00037,C00218,DK,payroll,2023-02-12,,,unassigned,referral
L00038,C00043,DK,tax_advisory,2023-02-21,2023-02-21,,pending,partner
L00039,C00142,DK,payroll,2023-02-01,2023-02-02,,lost,referral
L00040,C00218,DK,tax_advisory,2023-02-15,2023-02-20,2023-03-17,converted,paid
L00041,C00022,DK,audit,2023-02-19,2023-02-19,,pending,organic
L00042,C00167,DK,accounting,2023-02-04,2023-02-05,2023-02-23,converted,partner
L00043,C00036,DK,tax_advisory,2023-02-21,2023-02-21,2023-02-27,converted,referral
L00044,C00075,DK,tax_advisory,2023-02-27,2023-02-27,2023-03-11,converted,partner
L00045,C00272,DK,payroll,2023-03-02,2023-03-02,2023-03-24,converted,partner
