survey_id,customer_id,survey_date,nps_score,csat_score,country,comment
SV00001,C00229,2023-01-28,9,4,DK,Fremragende service og hurtig respons
SV00002,C00180,2023-01-11,9,5,DK,Fremragende service og hurtig respons
SV00003,C00150,2023-01-21,9,4,DK,Fremragende service og hurtig respons
SV00004,C00025,2023-01-16,9,4,DK,Fremragende service og hurtig respons
SV00005,C00134,2023-01-11,8,3,DK,"God service, men kan forbedres"
SV00006,C00033,2023-01-11,5,1,DK,Ikke tilfreds med serviceniveauet
SV00007,C00125,2023-01-01,9,4,DK,Fremragende service og hurtig respons
SV00008,C00243,2023-01-13,8,3,DK,"God service, men kan forbedres"
SV00009,C00162,2023-01-18,10,4,DK,Fremragende service og hurtig respons
SV00010,C00039,2023-01-07,5,1,DK,Ikke tilfreds med serviceniveauet
SV00011,C00208,2023-01-09,8,3,DK,"God service, men kan forbedres"
SV00012,C00008,2023-01-14,10,4,DK,Fremragende service og hurtig respons
SV00013,C00203,2023-01-13,6,3,DK,Ikke tilfreds med serviceniveauet
SV00014,C00063,2023-01-08,10,5,DK,Fremragende service og hurtig respons
SV00015,C00286,2023-01-26,9,4,DK,Fremragende service og hurtig respons
SV00016,C00155,2023-01-16,9,5,DK,Fremragende service og hurtig respons
SV00017,C00151,2023-01-01,8,3,DK,"God service, men kan forbedres"
SV00018,C00002,2023-01-15,7,4,DK,"God service, men kan forbedres"
SV00019,C00066,2023-02-26,7,3,DK,"God service, men kan forbedres"
SV00020,C00023,2023-02-06,9,5,DK,Fremragende service og hurtig respons
SV00021,C00195,2023-02-09,8,3,DK,"God service, men kan forbedres"
SV00022,C00215,2023-02-02,6,2,DK,Ikke tilfreds med serviceniveauet
SV00023,C00244,2023-02-25,8,4,DK,"God service, men kan forbedres"
SV00024,C00035,2023-02-09,9,4,DK,Fremragende service og hurtig respons
SV00025,C00030,2023-02-21,7,4,DK,"God service, men kan forbedres"
SV00026,C00131,2023-02-09,10,4,DK,Fremragende service og hurtig respons
SV00027,C00111,2023-02-13,9,5,DK,Fremragende service og hurtig respons
SV00028,C00126,2023-02-27,8,3,DK,"God service, men kan forbedres"
SV00029,C00198,2023-02-23,10,4,DK,Fremragende service og hurtig respons
SV00030,C00286,2023-02-19,10,4,DK,Fremragende service og hurtig respons
SV00031,C00228,2023-02-23,10,5,DK,Fremragende service og hurtig respons
SV00032,C00231,2023-02-11,5,2,DK,Ikke tilfreds med serviceniveauet
SV00033,C00120,2023-02-07,10,4,DK,Fremragende service og hurtig respons
SV00034,C00264,2023-02-01,10,5,DK,Fremragende service og hurtig respons
SV00035,C00273,2023-02-16,4,2,DK,Ikke tilfreds med serviceniveauet
SV00036,C00232,2023-02-28,9,5,DK,Fremragende service og hurtig respons
SV00037,C00008,2023-03-08,2,2,DK,Ikke tilfreds med serviceniveauet
SV00038,C00266,2023-03-28,7,4,DK,"God service, men kan forbedres"
SV00039,C00197,2023-03-21,3,3,DK,Ikke tilfreds med serviceniveauet
SV00040,C00099,2023-03-14,9,5,DK,Fremragende service og hurtig respons
SV00041,C00212,2023-03-12,10,5,DK,Fremragende service og hurtig respons
SV00042,C00031,2023-03-01,8,4,DK,"God service, men kan forbedres"
SV00043,C00028,2023-03-26,9,4,DK,Fremragende service og hurtig respons
SV00044,C00206,2023-03-03,10,4,DK,Fremragende service og hurtig respons
SV00045,C00169,2023-03-06,9,5,DK,Fremragende service og hurtig respons
SV00046,C00272,2023-03-27,10,4,DK,Fremragende service og hurtig respons
SV00047,C00150,2023-03-01,6,1,DK,Ikke tilfreds med serviceniveauet
SV00048,C00245,2023-03-12,8,3,DK,"God service, men kan forbedres"
SV00049,C00200,2023-03-12,7,4,DK,"God service, men kan forbedres"
SV00050,C00078,2023-03-12,9,5,DK,Fremragende service og hurtig respons
SV00051,C00238,2023-03-26,10,4,DK,Fremragende service og hurtig respons
SV00052,C00017,2023-03-25,10,5,DK,Fremragende service og hurtig respons
SV00053,C00182,2023-03-27,10,5,DK,Fremragende service og hurtig respons
SV00054,C00111,2023-03-25,8,4,DK,"God service, men kan forbedres"
SV00055,C00078,2023-04-26,10,4,DK,Fremragende service og hurtig respons
SV00056,C00325,2023-04-28,8,3,DK,"God service, men kan forbedres"
SV00057,C00067,2023-04-09,8,4,DK,"God service, men kan forbedres"
SV00058,C00217,2023-04-07,6,3,DK,Ikke tilfreds med serviceniveauet
SV00059,C00075,2023-04-16,10,4,DK,Fremragende service og hurtig respons
SV00060,C00144,2023-04-02,9,5,DK,Fremragende service og hurtig respons
SV00061,C00044,2023-04-02,10,4,DK,Fremragende service og hurtig respons
SV00062,C00173,2023-04-18,10,4,DK,Fremragende service og hurtig respons
SV00063,C00154,2023-04-19,7,3,DK,"God service, men kan forbedres"
SV00064,C00238,2023-04-05,8,4,DK,"God service, men kan forbedres"
SV00065,C00038,2023-04-11,7,4,DK,"God service, men kan forbedres"
SV00066,C00327,2023-04-23,1,3,DK,Ikke tilfreds med serviceniveauet
SV00067,C00126,2023-04-28,10,5,DK,Fremragende service og hurtig respons
SV00068,C00216,2023-04-11,9,5,DK,Fremragende service og hurtig respons
SV00069,C00223,2023-04-03,10,4,DK,Fremragende service og hurtig respons
SV00070,C00137,2023-04-24,9,4,DK,Fremragende service og hurtig respons
SV00071,C00075,2023-04-02,4,2,DK,Ikke tilfreds med serviceniveauet
SV00072,C00092,2023-04-01,10,4,DK,Fremragende service og hurtig respons
SV00073,C00148,2023-05-22,9,4,DK,Fremragende service og hurtig respons
SV00074,C00030,2023-05-04,9,5,DK,Fremragende service og hurtig respons
SV00075,C00122,2023-05-26,10,4,DK,Fremragende service og hurtig respons
SV00076,C00348,2023-05-07,6,3,DK,Ikke tilfreds med serviceniveauet
SV00077,C00153,2023-05-08,7,4,DK,"God service, men kan forbedres"
SV00078,C00114,2023-05-10,9,5,DK,Fremragende service og hurtig respons
SV00079,C00344,2023-05-14,10,4,DK,Fremragende service og hurtig respons
SV00080,C00047,2023-05-06,7,3,DK,"God service, men kan forbedres"
SV00081,C00277,2023-05-08,3,3,DK,Ikke tilfreds med serviceniveauet
SV00082,C00003,2023-05-02,9,4,DK,Fremragende service og hurtig respons
SV00083,C00258,2023-05-19,1,2,DK,Ikke tilfreds med serviceniveauet
SV00084,C00233,2023-05-24,8,4,DK,"God service, men kan forbedres"
SV00085,C00118,2023-05-26,10,5,DK,Fremragende service og hurtig respons
SV00086,C00228,2023-05-28,10,5,DK,Fremragende service og hurtig respons
SV00087,C00178,2023-05-13,10,5,DK,Fremragende service og hurtig respons
SV00088,C00094,2023-05-10,8,3,DK,"God service, men kan forbedres"
SV00089,C00364,2023-05-09,9,5,DK,Fremragende service og hurtig respons
SV00090,C00053,2023-05-09,7,4,DK,"God service, men kan forbedres"
SV00091,C00192,2023-06-07,9,4,DK,Fremragende service og hurtig respons
SV00092,C00352,2023-06-22,9,5,DK,Fremragende service og hurtig respons
SV00093,C00377,2023-06-17,10,5,DK,Fremragende service og hurtig respons
SV00094,C00019,2023-06-26,0,2,DK,Ikke tilfreds med serviceniveauet
SV00095,C00001,2023-06-05,8,4,DK,"God service, men kan forbedres"
SV00096,C00012,2023-06-14,9,5,DK,Fremragende service og hurtig respons
SV00097,C00361,2023-06-13,8,4,DK,"God service, men kan forbedres"
SV00098,C00147,2023-06-04,10,4,DK,Fremragende service og hurtig respons
SV00099,C00078,2023-06-10,8,4,DK,"God service, men kan forbedres"
SV00100,C00307,2023-06-04,8,4,DK,"God service, men kan forbedres"
SV00101,C00340,2023-06-08,5,2,DK,Ikke tilfreds med serviceniveauet
SV00102,C00114,2023-06-05,10,5,DK,Fremragende service og hurtig respons
SV00103,C00042,2023-06-02,7,4,DK,"God service, men kan forbedres"
SV00104,C00076,2023-06-14,10,5,DK,Fremragende service og hurtig respons
SV00105,C00078,2023-06-12,9,4,DK,Fremragende service og hurtig respons
SV00106,C00260,2023-06-08,5,2,DK,Ikke tilfreds med serviceniveauet
SV00107,C00226,2023-06-20,9,5,DK,Fremragende service og hurtig respons
