partner_id,snapshot_date,active_deals_count,soft_cap,hard_cap
P001,2023-01-01,3,10,12
P001,2023-01-02,4,10,12
P001,2023-01-03,5,10,12
P001,2023-01-04,5,10,12
P001,2023-01-05,4,10,12
P001,2023-01-06,3,10,12
P001,2023-01-07,3,10,12
P001,2023-01-08,4,10,12
P001,2023-01-09,3,10,12
P001,2023-01-10,5,10,12
P001,2023-01-11,3,10,12
P001,2023-01-12,6,10,12
P001,2023-01-13,7,10,12
P001,2023-01-14,3,10,12
P001,2023-01-15,3,10,12
P001,2023-01-16,5,10,12
P001,2023-01-17,6,10,12
P001,2023-01-18,3,10,12
P001,2023-01-19,6,10,12
P001,2023-01-20,5,10,12
P001,2023-01-21,3,10,12
P001,2023-01-22,4,10,12
P001,2023-01-23,3,10,12
P001,2023-01-24,7,10,12
P001,2023-01-25,5,10,12
P001,2023-01-26,7,10,12
P001,2023-01-27,3,10,12
P001,2023-01-28,4,10,12
P001,2023-01-29,4,10,12
P001,2023-01-30,7,10,12
P001,2023-01-31,4,10,12
P001,2023-02-01,3,10,12
P001,2023-02-02,5,10,12
P001,2023-02-03,4,10,12
P001,2023-02-04,6,10,12
P001,2023-02-05,6,10,12
P001,2023-02-06,7,10,12
P001,2023-02-07,3,10,12
P001,2023-02-08,3,10,12
P001,2023-02-09,7,10,12
P001,2023-02-10,5,10,12
P001,2023-02-11,6,10,12
P001,2023-02-12,7,10,12
P001,2023-02-13,5,10,12
P001,2023-02-14,4,10,12
P001,2023-02-15,5,10,12
P001,2023-02-16,3,10,12
P001,2023-02-17,6,10,12
P001,2023-02-18,7,10,12
P001,2023-02-19,4,10,12
P001,2023-02-20,3,10,12
P001,2023-02-21,3,10,12
P001,2023-02-22,7,10,12
P001,2023-02-23,5,10,12
P001,2023-02-24,6,10,12
P001,2023-02-25,5,10,12
P001,2023-02-26,6,10,12
P001,2023-02-27,5,10,12
P001,2023-02-28,4,10,12
P001,2023-03-01,4,10,12
P001,2023-03-02,4,10,12
P001,2023-03-03,5,10,12
P001,2023-03-04,5,10,12
P001,2023-03-05,5,10,12
P001,2023-03-06,5,10,12
P001,2023-03-07,5,10,12
P001,2023-03-08,3,10,12
P001,2023-03-09,7,10,12
P001,2023-03-10,3,10,12
P001,2023-03-11,4,10,12
P001,2023-03-12,5,10,12
P001,2023-03-13,5,10,12
P001,2023-03-14,5,10,12
P001,2023-03-15,5,10,12
P001,2023-03-16,4,10,12
P001,2023-03-17,4,10,12
P001,2023-03-18,6,10,12
P001,2023-03-19,4,10,12
P001,2023-03-20,6,10,12
P001,2023-03-21,3,10,12
P001,2023-03-22,7,10,12
P001,2023-03-23,4,10,12
P001,2023-03-24,4,10,12
P001,2023-03-25,7,10,12
P001,2023-03-26,5,10,12
