partner_id,snapshot_date,response_latency_p50_hours,response_latency_p90_hours,accept_count,decline_count,no_response_count,cancellation_count,capacity_utilization_pct,partner_roi_pct_snapshot,net_monthly_value_snapshot,churn_risk_score
P001,2023-01-01,3.6,15.16,10,2,1,1,43.11,18.34,11648.76,13.78
P001,2023-01-02,4.04,16.41,8,0,1,0,47.51,17.71,11847.58,6.39
P001,2023-01-03,3.12,17.19,6,1,2,0,56.23,20.81,12682.34,10.0
P001,2023-01-04,4.42,15.73,4,0,2,0,53.13,18.02,13600.14,12.09
P001,2023-01-05,4.78,15.24,3,1,2,0,69.78,19.79,11093.06,11.95
P001,2023-01-06,3.89,15.03,3,2,2,0,52.3,18.23,12684.28,10.87
P001,2023-01-07,3.77,12.83,4,0,1,0,59.49,20.43,11027.24,5.0
P001,2023-01-08,4.33,15.38,6,1,2,0,62.3,20.32,12348.12,10.82
P001,2023-01-09,4.39,15.56,4,3,0,0,51.61,19.66,11530.56,0.98
P001,2023-01-10,3.83,13.57,11,2,0,0,53.32,19.88,13127.62,0.0
P001,2023-01-11,3.96,15.59,10,0,1,0,66.61,18.59,11569.75,5.58
P001,2023-01-12,4.36,16.27,11,1,1,0,52.43,18.2,11921.24,6.79
P001,2023-01-13,3.61,14.85,4,1,2,0,41.64,18.16,12949.4,10.93
P001,2023-01-14,3.65,15.69,12,3,0,0,61.78,18.17,11697.51,0.92
P001,2023-01-15,4.17,15.26,10,2,0,1,71.88,21.31,11553.2,8.42
P001,2023-01-16,3.64,13.27,8,3,0,0,73.67,18.59,12689.16,0.58
P001,2023-01-17,4.29,15.28,7,1,0,0,50.2,19.49,12219.96,0.71
P001,2023-01-18,4.16,13.79,7,3,1,0,60.12,17.36,11082.37,6.97
P001,2023-01-19,4.08,15.7,4,1,1,0,39.71,19.12,12832.56,5.35
P001,2023-01-20,4.56,16.22,12,3,2,0,55.39,18.73,11623.71,11.88
P001,2023-01-21,4.1,14.27,7,1,0,0,50.62,16.53,11641.45,2.48
P001,2023-01-22,4.91,14.83,4,2,2,0,53.94,16.92,10631.71,14.2
P001,2023-01-23,3.96,14.46,12,1,2,0,73.66,22.01,11945.94,10.0
