partner_id,industry,service_type,strength_score
P001,other,accounting,41
P001,retail,audit,61
P001,hospitality,audit,70
P002,hospitality,tax_advisory,67
P002,tech,tax_advisory,66
P002,retail,accounting,50
P002,hospitality,bookkeeping,80
P003,hospitality,tax_advisory,73
P003,retail,audit,58
P003,tech,payroll,58
P004,tech,bookkeeping,52
P004,professional_services,tax_advisory,52
P004,retail,accounting,50
P005,professional_services,audit,46
P005,hospitality,audit,84
P006,hospitality,accounting,93
P006,tech,accounting,95
P006,hospitality,audit,70
P006,professional_services,accounting,71
P007,other,accounting,67
P007,retail,accounting,56
P008,other,tax_advisory,48
P008,hospitality,audit,65
P008,tech,accounting,62
P008,retail,payroll,82
P009,professional_services,bookkeeping,71
P009,hospitality,payroll,67
P009,hospitality,tax_advisory,71
P010,hospitality,tax_advisory,76
P010,hospitality,accounting,52
P011,other,bookkeeping,45
P011,retail,accounting,65
P012,tech,tax_advisory,89
P012,other,payroll,95
P013,other,bookkeeping,89
P013,tech,bookkeeping,51
P014,other,accounting,72
P014,hospitality,audit,84
P015,professional_services,payroll,90
P015,hospitality,bookkeeping,62
P016,retail,audit,75
P016,hospitality,audit,48
P017,professional_services,bookkeeping,81
P017,tech,audit,45
P018,professional_services,bookkeeping,47
P018,hospitality,accounting,68
P018,professional_services,payroll,44
P018,retail,tax_advisory,81
