referral_lead_id,referring_partner_id,customer_id,country,service_type,industry,referred_at,matched_at,booked_at,resolved_at,referral_status,deal_size_estimate,urgency
RL00001,R003,,DK,payroll,hospitality,2023-01-12,2023-01-14,,2023-01-27,lost,38049,medium
RL00002,R003,,DK,tax_advisory,hospitality,2023-01-07,,,,pending,42007,low
RL00003,R002,,DK,payroll,tech,2023-01-22,2023-01-25,,,negotiating,9477,medium
RL00004,R002,C00058,DK,accounting,hospitality,2023-01-27,2023-01-29,2023-02-04,2023-02-25,booked,24245,medium
RL00005,R001,C00249,DK,payroll,professional_services,2023-01-12,2023-01-15,2023-01-21,2023-01-30,booked,44212,low
RL00006,R004,C00093,DK,tax_advisory,other,2023-01-07,2023-01-10,2023-01-19,2023-01-29,booked,42385,medium
RL00007,R001,C00010,DK,accounting,other,2023-01-01,2023-01-04,2023-01-14,2023-01-24,booked,32864,low
RL00008,R003,C00029,DK,audit,tech,2023-01-04,2023-01-07,2023-01-09,2023-01-27,booked,18221,medium
RL00009,R002,C00157,DK,audit,professional_services,2023-01-13,2023-01-15,2023-01-20,2023-02-03,booked,4192,medium
RL00010,R002,,DK,audit,professional_services,2023-01-07,2023-01-08,,,matching,12130,medium
RL00011,R003,C00117,DK,bookkeeping,professional_services,2023-01-11,2023-01-13,2023-01-17,2023-02-06,booked,20787,medium
RL00012,R001,,DK,tax_advisory,other,2023-01-03,2023-01-06,,2023-01-21,lost,7084,medium
RL00013,R003,C00017,DK,payroll,retail,2023-01-27,2023-01-30,2023-02-06,2023-02-24,booked,31060,medium
RL00014,R001,,DK,accounting,retail,2023-01-27,2023-01-28,,,negotiating,24297,medium
RL00015,R002,,DK,bookkeeping,retail,2023-01-11,,,,pending,42148,medium
RL00016,R001,,DK,accounting,professional_services,2023-02-27,2023-03-02,,,matching,11494,medium
RL00017,R004,C00030,DK,payroll,retail,2023-02-27,2023-03-01,2023-03-05,2023-03-26,booked,40326,high
RL00018,R003,C00033,DK,tax_advisory,hospitality,2023-02-08,2023-02-11,2023-02-13,2023-03-01,booked,29951,medium
RL00019,R002,C00283,DK,audit,hospitality,2023-02-06,2023-02-09,2023-02-16,2023-03-09,booked,16149,medium
RL00020,R003,,DK,audit,tech,2023-02-22,2023-02-24,,2023-03-04,lost,23216,high
RL00021,R003,,DK,tax_advisory,retail,2023-02-06,2023-02-08,,,matching,21956,low
RL00022,R004,C00061,DK,tax_advisory,hospitality,2023-02-17,2023-02-18,2023-02-21,2023-03-07,booked,29056,low
RL00023,R004,,DK,bookkeeping,hospitality,2023-02-03,2023-02-06,,,matching,35421,medium
RL00024,R004,,DK,payroll,professional_services,2023-02-10,2023-02-11,,,matching,37042,medium
RL00025,R001,,DK,audit,retail,2023-02-13,2023-02-14,,2023-02-20,lost,9409,high
RL00026,R002,,DK,payroll,retail,2023-02-09,2023-02-11,,,negotiating,18007,low
RL00027,R001,,DK,bookkeeping,hospitality,2023-02-05,,,,pending,15879,medium
RL00028,R001,C00249,DK,tax_advisory,hospitality,2023-02-15,2023-02-18,2023-02-26,2023-03-10,booked,35159,medium
RL00029,R004,C00294,DK,accounting,other,2023-02-14,2023-02-15,2023-02-17,2023-02-25,booked,39124,medium
RL00030,R003,C00151,DK,payroll,hospitality,2023-02-15,2023-02-16,2023-02-25,2023-03-11,booked,18943,medium
RL00031,R002,C00084,DK,accounting,hospitality,2023-03-01,2023-03-02,2023-03-09,2023-04-01,booked,20560,medium
RL00032,R001,,DK,accounting,other,2023-03-02,2023-03-03,,,negotiating,13426,high
RL00033,R002,,DK,tax_advisory,professional_services,2023-03-12,2023-03-13,,2023-03-22,lost,13820,medium
RL00034,R004,C00216,DK,bookkeeping,other,2023-03-10,2023-03-11,2023-03-19,2023-04-05,booked,44523,medium
RL00035,R003,,DK,tax_advisory,professional_services,2023-03-11,2023-03-12,,2023-03-25,lost,37726,medium
RL00036,R003,C00167,DK,bookkeeping,professional_services,2023-03-23,2023-03-25,2023-03-28,2023-04-18,booked,18465,medium
RL00037,R003,,DK,audit,retail,2023-03-08,,,,pending,37888,medium
RL00038,R003,C00290,DK,tax_advisory,professional_services,2023-03-20,2023-03-23,2023-04-02,2023-04-24,booked,34282,high
RL00039,R003,C00091,DK,audit,hospitality,2023-03-01,2023-03-04,2023-03-10,2023-03-19,booked,20965,low
RL00040,R003,,DK,bookkeeping,retail,2023-03-09,2023-03-10,,2023-03-24,lost,22115,medium
RL00041,R002,,DK,payroll,retail,2023-03-22,2023-03-25,,,negotiating,14099,medium
RL00042,R004,C00150,DK,audit,hospitality,2023-03-08,2023-03-09,2023-03-17,2023-03-29,booked,32442,low
RL00043,R003,,DK,accounting,tech,2023-03-18,2023-03-20,,2023-03-28,lost,5662,medium
RL00044,R002,C00159,DK,payroll,professional_services,2023-03-21,2023-03-22,2023-03-30,2023-04-09,booked,42649,medium
RL00045,R004,,DK,tax_advisory,hospitality,2023-03-11,2023-03-13,,2023-03-26,lost,35751,medium
RL00046,R002,C00059,DK,bookkeeping,professional_services,2023-04-20,2023-04-22,2023-04-26,2023-05-09,booked,26752,high
