referring_partner_id,snapshot_date,leads_sent_count,conversion_rate_pct,avg_deal_size,cancellation_rate_pct,inquiry_response_latency_hours,churn_risk_score
R001,2023-01-01,6,65.05,20189.86,7.78,6.16,0.0
R001,2023-01-02,4,60.55,17276.51,11.99,5.41,1.58
R001,2023-01-03,5,62.7,19471.26,6.91,7.34,0.83
R001,2023-01-04,5,56.12,18295.15,10.92,6.28,5.12
R001,2023-01-05,4,52.77,19073.56,9.79,2.13,7.8
R001,2023-01-06,4,62.73,18421.89,9.0,7.69,1.37
R001,2023-01-07,3,58.56,20642.73,13.86,8.21,5.44
R001,2023-01-08,4,61.14,18019.9,6.17,5.92,1.1
R001,2023-01-09,5,58.21,17599.72,13.55,9.27,7.17
R001,2023-01-10,6,58.79,19349.28,9.59,5.83,2.98
R001,2023-01-11,5,64.53,21461.81,6.28,6.96,0.26
R001,2023-01-12,4,60.65,19399.85,14.78,3.99,1.49
R001,2023-01-13,4,66.85,16057.5,10.52,9.7,4.38
R001,2023-01-14,4,65.2,17939.24,14.5,2.68,0.0
R001,2023-01-15,5,59.14,20725.12,13.76,4.64,2.7
R001,2023-01-16,5,65.91,17548.01,5.71,8.41,2.44
R001,2023-01-17,6,63.48,16600.05,8.48,8.8,3.02
R001,2023-01-18,4,63.23,20937.48,6.91,6.58,0.0
R001,2023-01-19,5,63.62,18372.63,9.11,4.32,0.0
R001,2023-01-20,4,62.05,16855.07,9.49,7.7,1.75
R001,2023-01-21,5,61.34,17848.28,10.41,5.41,0.94
R001,2023-01-22,5,67.5,22360.94,9.71,4.21,0.0
R001,2023-01-23,5,58.31,21592.42,11.6,7.68,4.71
R001,2023-01-24,4,69.21,18051.58,5.7,7.3,0.78
R001,2023-01-25,5,61.91,18920.83,13.22,0.5,0.49
R001,2023-01-26,3,55.03,22166.55,9.69,9.81,10.67
R001,2023-01-27,5,70.61,16470.93,7.33,6.2,0.0
R001,2023-01-28,4,52.09,18480.42,11.72,4.99,8.34
R001,2023-01-29,5,59.79,23014.74,12.61,4.84,2.18
R001,2023-01-30,4,67.72,19040.31,6.28,2.47,0.0
R001,2023-01-31,4,52.5,19416.83,7.64,7.65,9.32
R001,2023-02-01,5,63.31,20927.42,5.09,7.78,1.5
R001,2023-02-02,7,59.69,21445.06,12.55,5.12,2.26
R001,2023-02-03,5,62.77,20993.97,9.83,3.81,0.0
R001,2023-02-04,3,65.19,14087.78,11.53,8.3,2.41
R001,2023-02-05,5,55.63,22378.16,10.23,7.39,6.43
R001,2023-02-06,5,67.64,21115.11,7.98,9.86,4.62
R001,2023-02-07,3,63.5,19388.71,6.83,9.58,4.32
R001,2023-02-08,4,61.81,19990.92,11.45,6.57,0.56
R001,2023-02-09,5,58.08,14716.7,10.68,6.21,3.55
R001,2023-02-10,5,73.94,23182.59,9.22,6.63,0.0
R001,2023-02-11,3,58.15,21595.51,8.57,6.39,3.62
R001,2023-02-12,6,62.81,18781.7,10.75,7.04,0.39
R001,2023-02-13,4,66.22,20533.33,7.86,6.58,0.0
R001,2023-02-14,6,66.26,15983.52,8.71,5.03,0.0
