subscription_id,customer_id,plan_type,start_date,end_date,churn_date,churn_reason,mrr,country
S00001,C00001,enterprise,2022-01-08,2022-08-12,2022-08-12,price_too_high,4501,DK
S00002,C00002,enterprise,2022-01-05,,,,5152,DK
S00003,C00003,premium,2022-01-18,,,,2460,DK
S00004,C00004,basic,2022-01-17,,,,482,DK
S00005,C00005,basic,2022-01-19,,,,773,DK
S00006,C00006,basic,2022-01-03,,,,698,DK
S00007,C00007,basic,2022-01-16,,,,658,DK
S00008,C00008,premium,2022-01-14,,,,1110,DK
S00009,C00009,premium,2022-01-13,,,,1223,DK
S00010,C00010,basic,2022-01-05,,,,577,DK
S00011,C00011,premium,2022-01-26,2022-03-10,2022-03-10,price_too_high,1103,DK
S00012,C00012,basic,2022-01-06,,,,655,DK
S00013,C00013,enterprise,2022-01-01,,,,7527,DK
S00014,C00014,basic,2022-01-05,2022-08-04,2022-08-04,competitor,479,DK
S00015,C00015,basic,2022-01-02,,,,721,DK
S00016,C00016,basic,2022-01-03,,,,570,DK
S00017,C00017,basic,2022-01-20,,,,786,DK
S00018,C00018,basic,2022-01-09,,,,572,DK
S00019,C00019,enterprise,2022-01-11,,,,3876,DK
S00020,C00020,basic,2022-01-18,,,,628,DK
S00021,C00021,premium,2022-01-10,,,,2440,DK
S00022,C00022,premium,2022-01-22,,,,2358,DK
S00023,C00023,premium,2022-02-25,,,,1330,DK
S00024,C00024,basic,2022-02-18,,,,526,DK
S00025,C00025,basic,2022-02-05,,,,636,DK
S00026,C00026,premium,2022-02-07,,,,1724,DK
S00027,C00027,premium,2022-02-24,2022-04-30,2022-04-30,not_using,2770,DK
S00028,C00028,premium,2022-02-11,2022-04-12,2022-04-12,not_using,2371,DK
S00029,C00029,basic,2022-02-04,,,,690,DK
S00030,C00030,premium,2022-02-27,2022-05-29,2022-05-29,price_too_high,1048,DK
S00031,C00031,basic,2022-02-25,2022-03-24,2022-03-24,price_too_high,654,DK
S00032,C00032,premium,2022-02-09,,,,1543,DK
S00033,C00033,premium,2022-02-24,,,,2047,DK
S00034,C00034,basic,2022-02-02,,,,725,DK
S00035,C00035,basic,2022-02-14,,,,619,DK
S00036,C00036,basic,2022-02-17,,,,656,DK
S00037,C00037,premium,2022-02-07,,,,2387,DK
S00038,C00038,basic,2022-02-19,,,,450,DK
S00039,C00039,premium,2022-02-20,,,,1905,DK
S00040,C00040,enterprise,2022-02-26,,,,5190,DK
S00041,C00041,premium,2022-02-22,,,,2676,DK
S00042,C00042,basic,2022-02-08,,,,473,DK
S00043,C00043,basic,2022-02-15,,,,549,DK
S00044,C00044,basic,2022-02-13,,,,452,DK
S00045,C00045,premium,2022-03-06,2022-07-28,2022-07-28,not_using,1530,DK
S00046,C00046,basic,2022-03-08,,,,596,DK
S00047,C00047,basic,2022-03-03,,,,528,DK
S00048,C00048,basic,2022-03-14,,,,481,DK
S00049,C00049,premium,2022-03-23,,,,2179,DK
S00050,C00050,premium,2022-03-25,,,,2711,DK
S00051,C00051,basic,2022-03-08,,,,698,DK
S00052,C00052,basic,2022-03-27,,,,768,DK
S00053,C00053,basic,2022-03-22,,,,519,DK
S00054,C00054,basic,2022-03-09,,,,617,DK
S00055,C00055,premium,2022-03-09,,,,2534,DK
S00056,C00056,premium,2022-03-25,,,,1063,DK
S00057,C00057,basic,2022-03-20,,,,792,DK
S00058,C00058,basic,2022-03-25,,,,508,DK
S00059,C00059,premium,2022-03-04,,,,2179,DK
S00060,C00060,basic,2022-03-23,,,,771,DK
S00061,C00061,premium,2022-03-26,,,,2602,DK
S00062,C00062,basic,2022-03-03,,,,665,DK
S00063,C00063,premium,2022-03-12,,,,2448,DK
S00064,C00064,premium,2022-03-20,2022-06-30,2022-06-30,price_too_high,1990,DK
S00065,C00065,enterprise,2022-03-27,,,,7492,DK
S00066,C00066,basic,2022-03-22,,,,616,DK
S00067,C00067,basic,2022-04-23,,,,638,DK
S00068,C00068,basic,2022-04-24,2022-11-14,2022-11-14,price_too_high,682,DK
S00069,C00069,basic,2022-04-11,,,,544,DK
S00070,C00070,premium,2022-04-24,,,,2222,DK
S00071,C00071,basic,2022-04-08,,,,723,DK
S00072,C00072,basic,2022-04-10,,,,701,DK
S00073,C00073,basic,2022-04-16,,,,476,DK
S00074,C00074,basic,2022-04-13,,,,477,DK
S00075,C00075,premium,2022-04-08,,,,2241,DK
S00076,C00076,basic,2022-04-25,,,,676,DK
S00077,C00077,premium,2022-04-19,,,,2515,DK
S00078,C00078,basic,2022-04-22,,,,732,DK
S00079,C00079,basic,2022-04-23,,,,568,DK
S00080,C00080,basic,2022-04-22,,,,770,DK
S00081,C00081,basic,2022-04-04,,,,586,DK
S00082,C00082,premium,2022-04-06,,,,2688,DK
S00083,C00083,basic,2022-04-04,,,,656,DK
S00084,C00084,basic,2022-04-16,,,,671,DK
S00085,C00085,premium,2022-04-01,2022-11-02,2022-11-02,not_using,2712,DK
S00086,C00086,basic,2022-04-27,,,,539,DK
S00087,C00087,enterprise,2022-04-06,,,,7828,DK
S00088,C00088,basic,2022-04-14,,,,532,DK
S00089,C00089,basic,2022-05-21,,,,586,DK
S00090,C00090,basic,2022-05-04,,,,572,DK
S00091,C00091,basic,2022-05-01,,,,508,DK
S00092,C00092,basic,2022-05-23,,,,662,DK
S00093,C00093,basic,2022-05-15,,,,756,DK
S00094,C00094,premium,2022-05-25,,,,2613,DK
S00095,C00095,premium,2022-05-27,,,,2002,DK
S00096,C00096,basic,2022-05-16,,,,728,DK
S00097,C00097,premium,2022-05-19,,,,1841,DK
S00098,C00098,enterprise,2022-05-13,2022-10-31,2022-10-31,competitor,5046,DK
S00099,C00099,premium,2022-05-28,,,,1204,DK
