upsell_id,customer_id,upsell_date,from_plan,to_plan,add_on,add_on_revenue,sales_rep,country
U00001,C00107,2023-01-08,premium,enterprise,,2103,SR05,DK
U00002,C00172,2023-01-21,premium,premium,audit_add_on,800,SR11,DK
U00003,C00046,2023-01-05,premium,premium,tax_advisory_add_on,462,SR03,DK
U00004,C00262,2023-01-01,basic,premium,,3440,SR12,DK
U00005,C00200,2023-01-20,premium,enterprise,,1909,SR06,DK
U00006,C00246,2023-01-21,basic,premium,,2350,SR12,DK
U00007,C00066,2023-02-18,basic,basic,audit_add_on,762,SR01,DK
U00008,C00042,2023-02-11,basic,basic,tax_advisory_add_on,501,SR07,DK
U00009,C00019,2023-02-10,basic,basic,payroll_add_on,761,SR03,DK
U00010,C00032,2023-02-24,basic,premium,,2965,SR08,DK
U00011,C00021,2023-02-17,premium,premium,tax_advisory_add_on,352,SR08,DK
U00012,C00058,2023-02-15,premium,premium,tax_advisory_add_on,383,SR01,DK
U00013,C00132,2023-03-19,premium,enterprise,,2791,SR01,DK
U00014,C00138,2023-03-21,basic,premium,,2493,SR04,DK
U00015,C00181,2023-03-17,enterprise,enterprise,tax_advisory_add_on,499,SR04,DK
U00016,C00050,2023-03-26,premium,enterprise,,768,SR09,DK
U00017,C00138,2023-03-27,premium,premium,audit_add_on,728,SR03,DK
U00018,C00186,2023-03-20,basic,premium,,2305,SR07,DK
U00019,C00060,2023-04-27,premium,enterprise,,1211,SR02,DK
U00020,C00327,2023-04-12,premium,enterprise,,3052,SR06,DK
U00021,C00027,2023-04-21,premium,enterprise,,2834,SR12,DK
U00022,C00248,2023-04-15,premium,enterprise,,1801,SR07,DK
U00023,C00181,2023-04-08,premium,enterprise,,1153,SR04,DK
U00024,C00095,2023-04-04,premium,premium,tax_advisory_add_on,426,SR08,DK
U00025,C00151,2023-05-08,basic,premium,,3348,SR06,DK
U00026,C00347,2023-05-23,premium,premium,bookkeeping_add_on,349,SR03,DK
U00027,C00340,2023-05-20,enterprise,enterprise,payroll_add_on,271,SR12,DK
U00028,C00140,2023-05-08,basic,premium,,1773,SR03,DK
U00029,C00085,2023-05-11,basic,basic,payroll_add_on,274,SR08,DK
U00030,C00336,2023-05-15,basic,basic,tax_advisory_add_on,894,SR08,DK
U00031,C00084,2023-06-22,premium,enterprise,,3374,SR09,DK
U00032,C00158,2023-06-25,basic,premium,,1989,SR01,DK
U00033,C00094,2023-06-02,basic,basic,tax_advisory_add_on,425,SR06,DK
U00034,C00205,2023-06-28,basic,premium,,2181,SR03,DK
U00035,C00066,2023-06-11,premium,enterprise,,2408,SR09,DK
U00036,C00006,2023-06-07,basic,basic,bookkeeping_add_on,452,SR03,DK
U00037,C00077,2023-07-03,premium,enterprise,,1162,SR04,DK
U00038,C00155,2023-07-26,basic,premium,,832,SR10,DK
U00039,C00188,2023-07-23,enterprise,enterprise,tax_advisory_add_on,285,SR12,DK
U00040,C00352,2023-07-03,premium,enterprise,,572,SR08,DK
U00041,C00259,2023-07-26,basic,premium,,1071,SR02,DK
U00042,C00353,2023-07-02,enterprise,enterprise,tax_advisory_add_on,821,SR09,DK
U00043,C00011,2023-08-15,premium,enterprise,,598,SR01,DK
U00044,C00394,2023-08-08,basic,premium,,815,SR04,DK
U00045,C00293,2023-08-05,basic,basic,payroll_add_on,272,SR07,DK
U00046,C00293,2023-08-01,premium,enterprise,,1530,SR07,DK
U00047,C00287,2023-08-28,basic,premium,,2046,SR01,DK
U00048,C00313,2023-08-15,basic,premium,,2326,SR04,DK
U00049,C00316,2023-09-23,premium,enterprise,,2159,SR07,DK
U00050,C00078,2023-09-20,basic,premium,,596,SR04,DK
U00051,C00287,2023-09-03,basic,premium,,2213,SR12,DK
U00052,C00144,2023-09-27,enterprise,enterprise,tax_advisory_add_on,527,SR07,DK
U00053,C00130,2023-09-01,basic,premium,,2876,SR10,DK
U00054,C00103,2023-09-06,basic,premium,,646,SR08,DK
U00055,C00435,2023-10-28,basic,premium,,1664,SR10,DK
U00056,C00160,2023-10-25,basic,premium,,1744,SR01,DK
U00057,C00015,2023-10-04,premium,enterprise,,1297,SR02,DK
U00058,C00007,2023-10-04,enterprise,enterprise,payroll_add_on,748,SR06,DK
U00059,C00263,2023-10-04,basic,premium,,634,SR06,DK
U00060,C00336,2023-10-08,basic,basic,bookkeeping_add_on,550,SR03,DK
U00061,C00095,2023-11-24,premium,enterprise,,3141,SR08,DK
